reviewer,date,original_language,content,hospital,clean_for_sentiment,vader_positive,vader_neutral,vader_negative,vader_compound,vader_sentiment,distilbert_label,distilbert_score
Janique Marchand,2024-07,French,Not visited much yet. Exams possible soon.,UZ Brussel,not visited much yet. exams possible soon.,0.0,1.0,0.0,0.0,neutral,negative,0.995067834854126
christian brisack,2024-07,French,"Hello I would like to inform you that my wife who will be 72 years old the day before the ascent we called 112 at 6 p.m. to have very back pain with the protocol of our attending physician 9:30 p.m. no response yet at 10 p.m. the doctor who examined her that it was that it was a simple back pain at midnight she called me that I can go get it still no prescription forgot to print them 15 days most operation 3 broken vertebrae spine operated on at the Hospital in Aalst Grand Thanks to the
UZ Hospital.
Christian Brisack.",UZ Brussel,"hello i would like to inform you that my wife who will be 72 years old the day before the ascent we called 112 at 6 p.m. to have very back pain with the protocol of our attending physician 9:30 p.m. no response yet at 10 p.m. the doctor who examined her that it was that it was a simple back pain at midnight she called me that i can go get it still no prescription forgot to print them 15 days most operation 3 broken vertebrae spine operated on at the hospital in aalst grand thanks to the
uz hospital.
christian brisack.",0.071,0.805,0.124,-0.7385,negative,negative,0.990656852722168
TheSkyZo,2024-07,French,"Arrived with a blow to the head, a wardrobe fell on me! So still a little concussed, painful and whiplash! After 4 hours there, I still haven't seen a doctor! Apparently not urgent!!! Maybe a subdural hematoma, maybe a big concussion! But the little injuries all passed before me!
Painful and nauseous, I try to doze off on an uncomfortable chair! And unbearable! Frankly, the service is lousy and the staff are unpleasant too!!!",UZ Brussel,"arrived with a blow to the head, a wardrobe fell on me! so still a little concussed, painful and whiplash! after 4 hours there, i still haven't seen a doctor! apparently not urgent!! maybe a subdural hematoma, maybe a big concussion! but the little injuries all passed before me!
painful and nauseous, i try to doze off on an uncomfortable chair! and unbearable! frankly, the service is lousy and the staff are unpleasant too!!",0.0,0.769,0.231,-0.9658,negative,negative,0.9996392726898193
Anastasiia Lamanova,2024-07,English,"I was following up on my pregnancy and then giving birth in UZ Brussels. Throughout the pregnancy we received all the check-ups on time, multiple specialists were there to make sure that my baby and I are doing well and I got all the answers to the questions I had. The midwifes and doctors at Maternity unit and Delivery are just angels - they all speak English, were very supportive and have tons and tons of knowledge to address any issues. I love the approach of the hospital to promote natural birth and avoid interventions. And even though my labour went completely opposite to the plan and I ended up to need a labour induction, epidural and C-section in the end (since I went overdue and my naturally initiated labour did not progress well) I am absolutely happy with all the choices made by the doctors and have no doubts they made all they could to avoid unnecessary procedures, just as I wished. Special thank you to the midwife Joke, whose support during the delivery made a huge difference. Baby was born perfectly healthy, so am I. Will always be grateful to the kind people working there.",UZ Brussel,"i was following up on my pregnancy and then giving birth in uz brussels. throughout the pregnancy we received all the check-ups on time, multiple specialists were there to make sure that my baby and i are doing well and i got all the answers to the questions i had. the midwifes and doctors at maternity unit and delivery are just angels - they all speak english, were very supportive and have tons and tons of knowledge to address any issues. i love the approach of the hospital to promote natural birth and avoid interventions. and even though my labour went completely opposite to the plan and i ended up to need a labour induction, epidural and c-section in the end (since i went overdue and my naturally initiated labour did not progress well) i am absolutely happy with all the choices made by the doctors and have no doubts they made all they could to avoid unnecessary procedures, just as i wished. special thank you to the midwife joke, whose support during the delivery made a huge difference. baby was born perfectly healthy, so am i. will always be grateful to the kind people working there.",0.215,0.749,0.037,0.9903,positive,positive,0.9994656443595886
Andrada Gele,2024-07,French,6 hours of waiting in the emergency room and it's not over yet. The behavior and the wait time are disgusting. You could die during that time and they don't care.,UZ Brussel,6 hours of waiting in the emergency room and it's not over yet. the behavior and the wait time are disgusting. you could die during that time and they don't care.,0.0,0.683,0.317,-0.9105,negative,negative,0.9993667006492615
Wiss Bou,2024-07,French,Catastrophic emergency services after 5 hours of waiting still nothing,UZ Brussel,catastrophic emergency services after 5 hours of waiting still nothing,0.0,0.58,0.42,-0.7003,negative,negative,0.9976180195808411
Mükerrem Cetindere,2024-07,Dutch,"I think the children's department and the emergency department are very poor. They kept my baby in the emergency room for 9 hours with a high fever of 39. Even though I told them that my baby had meningitis, they did not want to listen to me and did not give my baby antibiotics in time. They didn't give antibiotics for 2 days. And my baby's condition has deteriorated greatly. due to a very serious infection.  He has now been in another hospital for 10 days. He still has to lie down. And his condition is not quite good yet.",UZ Brussel,"i think the children's department and the emergency department are very poor. they kept my baby in the emergency room for 9 hours with a high fever of 39. even though i told them that my baby had meningitis, they did not want to listen to me and did not give my baby antibiotics in time. they didn't give antibiotics for 2 days. and my baby's condition has deteriorated greatly. due to a very serious infection. he has now been in another hospital for 10 days. he still has to lie down. and his condition is not quite good yet.",0.0,0.87,0.13,-0.9007,negative,negative,0.9989376664161682
Sars Ars,2024-07,French,"I've been waiting for 4 hours, I haven't seen a doctor, it doesn't look like an urgent service, earlier it looks like an administrative office",UZ Brussel,"i've been waiting for 4 hours, i haven't seen a doctor, it doesn't look like an urgent service, earlier it looks like an administrative office",0.151,0.774,0.074,0.2937,positive,negative,0.9955528378486633
Anne-Lise Moreels,2024-07,French,"No professionalism or organization, unsanitary, cold, no sympathy except in exceptional circumstances. I went there several times for IVF. They have made medical errors, are politically incorrect: manipulation of interpretations of results, words and patients, scandalous behavior, discrimination. The psych service is filthy, we see patients coming out in tears. The information changes: sometimes you need a document like stage gate of an appointment, sometimes not, for no reason. The patient is intimidated, poorly informed, I suffer psychologically and physically from the abuse and functionally poorly from this hospital. The IVF service is no longer recommended as the approach on the ground is incomplete and patient-driven. This is no longer recommended at all. Lots of flamingos ready to bully and treat French speakers badly. To flee.",UZ Brussel,"no professionalism or organization, unsanitary, cold, no sympathy except in exceptional circumstances. i went there several times for ivf. they have made medical errors, are politically incorrect: manipulation of interpretations of results, words and patients, scandalous behavior, discrimination. the psych service is filthy, we see patients coming out in tears. the information changes: sometimes you need a document like stage gate of an appointment, sometimes not, for no reason. the patient is intimidated, poorly informed, i suffer psychologically and physically from the abuse and functionally poorly from this hospital. the ivf service is no longer recommended as the approach on the ground is incomplete and patient-driven. this is no longer recommended at all. lots of flamingos ready to bully and treat french speakers badly. to flee.",0.062,0.689,0.249,-0.9779,negative,negative,0.9984062314033508
Ili Ibn malik,2024-07,French,"In the emergency room today for lower back pain which may resemble sciatica. The doctor I had in the emergency room didn't even let me do an X-ray or scan to see what was wrong and when I told him that I couldn't sleep because of my pain and that I was having difficulty doing any work, he just told me to take dafalgan and that it would be fine. Not professional at all. I would never go there again. When we go to the Emergency Room it means we have an EMERGENCY!!!!!!! Belgium is no longer what it was in the field of health care.",UZ Brussel,"in the emergency room today for lower back pain which may resemble sciatica. the doctor i had in the emergency room didn't even let me do an x-ray or scan to see what was wrong and when i told him that i couldn't sleep because of my pain and that i was having difficulty doing any work, he just told me to take dafalgan and that it would be fine. not professional at all. i would never go there again. when we go to the emergency room it means we have an emergency!! belgium is no longer what it was in the field of health care.",0.04,0.743,0.217,-0.9661,negative,negative,0.9978025555610657
hans Vervaecke,2024-07,Dutch,"Today I had an appointment at Orthopedics, with doctor Simon Van Roy at 3:30 PM for a check-up of 2 broken fingers and I had to wait 75 minutes, without any notification of delay when I inquired with the secretariat.
In the meantime it was 4:45 pm and I was received somewhere in the department where the fractures are treated, suddenly the doctor came in and told me the opposite of what was formulated the week before by another orthopedist, it all couldn't happen fast enough, I was outside in 3 minutes, I may not have taken into account that he had a nine to five job and it was almost 5 pm.
I am a regular patient at the UZB and satisfied with most doctors, but I cannot recommend this doctor. When leaving the practice I did receive a response of ""sorry for the wait"" with his back turned to me, a little respect and politeness would have been the least.
Since this doctor seemed so uninterested, I am obliged to make a new appointment with another doctor, of course.",UZ Brussel,"today i had an appointment at orthopedics, with doctor simon van roy at 3:30 pm for a check-up of 2 broken fingers and i had to wait 75 minutes, without any notification of delay when i inquired with the secretariat.
in the meantime it was 4:45 pm and i was received somewhere in the department where the fractures are treated, suddenly the doctor came in and told me the opposite of what was formulated the week before by another orthopedist, it all couldn't happen fast enough, i was outside in 3 minutes, i may not have taken into account that he had a nine to five job and it was almost 5 pm.
i am a regular patient at the uzb and satisfied with most doctors, but i cannot recommend this doctor. when leaving the practice i did receive a response of ""sorry for the wait"" with his back turned to me, a little respect and politeness would have been the least.
since this doctor seemed so uninterested, i am obliged to make a new appointment with another doctor, of course.",0.03,0.929,0.041,-0.0527,neutral,negative,0.9976670742034912
katy aissou,2024-07,French,"I was really disappointed because I went through the psychologist to follow up with the PMA, she didn't give me permission because my husband is unemployed for the moment and I don't work.",UZ Brussel,"i was really disappointed because i went through the psychologist to follow up with the pma, she didn't give me permission because my husband is unemployed for the moment and i don't work.",0.0,0.904,0.096,-0.5256,negative,negative,0.9997043013572693
Geoffrey D'Hallewin,2024-07,French,It is difficult to understand that a hospital with such new infrastructure could be so archaic in communication both with patients and those around them.,UZ Brussel,it is difficult to understand that a hospital with such new infrastructure could be so archaic in communication both with patients and those around them.,0.0,0.906,0.094,-0.3612,neutral,negative,0.9990713596343994
Yassir Boussfia,2024-07,Dutch,I am in ongoing treatment in the hospital and after 2 appointments they say that there is no more room for me and that there is only room after June and that even then no place is assured for us while they said that I still need a lot of treatment I was just left here with pain and we are Dutch speaking and there is no other alternative hospital in Brussels where I can receive treatment in Dutch,UZ Brussel,i am in ongoing treatment in the hospital and after 2 appointments they say that there is no more room for me and that there is only room after june and that even then no place is assured for us while they said that i still need a lot of treatment i was just left here with pain and we are dutch speaking and there is no other alternative hospital in brussels where i can receive treatment in dutch,0.029,0.856,0.115,-0.7506,negative,negative,0.9990569949150085
Endri Murat,2024-07,French,"Hospital supposedly renowned for its pediatric department. I go to the emergency room with my 9 month old son and explain that he has had a fever of 40 for more than 10 days despite the interval of ibuprofen and dafalgan, he is completely amorphous, no longer feeds and no longer drinks.
A cough like no other and so on.
They made me wait 2 hours by putting a small “symptoms not serious” bracelet on him.
After 2 hours of waiting I was finally received to just listen to his heart, take his temperature without even taking a blood test and tell me ""don't worry it's viral it will pass."" Despite the fact that I insisted on further testing, they didn't want to hear anything.
The next day, after a night that was still just as disastrous, we decided to go to another hospital. He was immediately taken care of, blood taken (very complicated because of his dehydration which the pediatrician at the UZ had not even noticed...), stool tests, chest scan. Diagnosis: PNEUMONIA!!
Hospitalized for several days on antibiotics.
If I had listened to these “doctors” I would have lost my child. Scandalous to blame parents who insist as if we don't know our children.
Hospital to avoid!",UZ Brussel,"hospital supposedly renowned for its pediatric department. i go to the emergency room with my 9 month old son and explain that he has had a fever of 40 for more than 10 days despite the interval of ibuprofen and dafalgan, he is completely amorphous, no longer feeds and no longer drinks.
a cough like no other and so on.
they made me wait 2 hours by putting a small “symptoms not serious” bracelet on him.
after 2 hours of waiting i was finally received to just listen to his heart, take his temperature without even taking a blood test and tell me ""don't worry it's viral it will pass."" despite the fact that i insisted on further testing, they didn't want to hear anything.
the next day, after a night that was still just as disastrous, we decided to go to another hospital. he was immediately taken care of, blood taken (very complicated because of his dehydration which the pediatrician at the uz had not even noticed..), stool tests, chest scan. diagnosis: pneumonia!!
hospitalized for several days on antibiotics.
if i had listened to these “doctors” i would have lost my child. scandalous to blame parents who insist as if we don't know our children.
hospital to avoid!",0.053,0.831,0.117,-0.8993,negative,negative,0.991827130317688
Luc,2024-07,Dutch,"appointment 13/05/2024 hematology service, everything ok.
I forget to ask a question and send a message to the doctor and secretariat the next day with a reminder on subsequent days and to date 22/05/2024 no answer, doctors cannot be reached by telephone.
0/10 Being a patient is no joke.",UZ Brussel,"appointment 13/05/2024 hematology service, everything ok.
i forget to ask a question and send a message to the doctor and secretariat the next day with a reminder on subsequent days and to date 22/05/2024 no answer, doctors cannot be reached by telephone.
0/10 being a patient is no joke.",0.0,0.861,0.139,-0.6467,negative,negative,0.9932920932769775
Arno Pion,2024-07,French,"Pfff guys, this bar is CRAZY!!! I was there, quiet, having a drink and bam, the evening went into a tailspin. Cocktails, man, are liquid works of art. I had something with rum, fruit, I don't even know what, but it was the best thing I've ever drunk. The people were so nice! We danced, we sang, I think I even did an impromptu karaoke with strangers, but it was epic. The bartender, a real conductor, he manages it like a pro. Frankly, if you want to have the best evening of your life, you have to go there. I don't know what it's called but look for ""whew bar"" and you'll find it. I'll go back as soon as I find my way!",UZ Brussel,"pff guys, this bar is crazy!! i was there, quiet, having a drink and bam, the evening went into a tailspin. cocktails, man, are liquid works of art. i had something with rum, fruit, i don't even know what, but it was the best thing i've ever drunk. the people were so nice! we danced, we sang, i think i even did an impromptu karaoke with strangers, but it was epic. the bartender, a real conductor, he manages it like a pro. frankly, if you want to have the best evening of your life, you have to go there. i don't know what it's called but look for ""whew bar"" and you'll find it. i'll go back as soon as i find my way!",0.155,0.811,0.033,0.9665,positive,positive,0.9993494153022766
maldoror,2024-07,French,"very poorly signposted, unsanitary, lack of organization and signage outside and inside the hospital. we arrived 30 minutes early for our appointment, we found the consultation building an hour later. a clear defect in reception and signage in addition to a confusing and unpleasant welcome. we would give it 0/5 if we could.",UZ Brussel,"very poorly signposted, unsanitary, lack of organization and signage outside and inside the hospital. we arrived 30 minutes early for our appointment, we found the consultation building an hour later. a clear defect in reception and signage in addition to a confusing and unpleasant welcome. we would give it 0/5 if we could.",0.09,0.754,0.156,-0.4767,neutral,negative,0.9996323585510254
Rabia Shahid,2024-07,English,Nice experience 👌 …,UZ Brussel,nice experience 👌 …,0.817,0.183,0.0,0.8374,positive,positive,0.9998427629470825
Sam Peace,2024-07,French,"There is clearly incompetence and racism in the emergency room. We went there last week. We were made to wait 8 hours with no communication.  When you ask when we are going to pass, you are told coldly that they don't know.  I saw several incidents between medical staff who were aggressive and patients of foreign origin who simply asked why such a waiting time... my opinion is that it is the policy of UZ emergencies to encourage people not to come back or to leave!   To think that it is with our taxes that these people are paid!",UZ Brussel,"there is clearly incompetence and racism in the emergency room. we went there last week. we were made to wait 8 hours with no communication. when you ask when we are going to pass, you are told coldly that they don't know. i saw several incidents between medical staff who were aggressive and patients of foreign origin who simply asked why such a waiting time.. my opinion is that it is the policy of uz emergencies to encourage people not to come back or to leave! to think that it is with our taxes that these people are paid!",0.053,0.808,0.138,-0.8217,negative,negative,0.9994063377380371
AE Antwerp,2024-07,Dutch,"Heavily pregnant asylum seeker was refused here when she had to give birth.

An emergency service employee first asked the young woman to pay 2,000 euros because she had no health insurance. She did not have that money in her pocket and so she was sent away. She eventually gave birth in another hospital.",UZ Brussel,"heavily pregnant asylum seeker was refused here when she had to give birth.

an emergency service employee first asked the young woman to pay 2,00 euros because she had no health insurance. she did not have that money in her pocket and so she was sent away. she eventually gave birth in another hospital.",0.0,0.856,0.144,-0.7506,negative,negative,0.9978524446487427
adeny Adam,2024-07,Dutch,"Fuyez les urgences. Inhumain. Aime pas les gens qui parle français
Franchement déçu des urgences. Si vous parlez pas le néerlandais vous êtes mal traité. You're welcome and wait for your reaction. J'avais le temps de mourir avec eux. PQ and Flandre Il Font l'Effort de Parler Même Si C'est Compliqué et ICI A Bruxelles Ils Doivent Parler Les 2 Langues. Don't wait until you use the bronzer beforehand.

Frankly disappointed with the emergencies.  If you don't speak Dutch, you will be treated badly.  I speak it and I wanted to see the reaction.  I had time to die with them.  Pq in Flanders they make the effort to speak even if it is complicated and here in Brussels they have to speak both languages.  Remember, if you tan too much, it will be worse.",UZ Brussel,"fuyez les urgences. inhumain. aime pas les gens qui parle français
franchement déçu des urgences. si vous parlez pas le néerlandais vous êtes mal traité. you're welcome and wait for your reaction. j'avais le temps de mourir avec eux. pq and flandre il font l'effort de parler même si c'est compliqué et ici a bruxelles ils doivent parler les 2 langues. don't wait until you use the bronzer beforehand.

frankly disappointed with the emergencies. if you don't speak dutch, you will be treated badly. i speak it and i wanted to see the reaction. i had time to die with them. pq in flanders they make the effort to speak even if it is complicated and here in brussels they have to speak both languages. remember, if you tan too much, it will be worse.",0.021,0.889,0.09,-0.8807,negative,negative,0.9986440539360046
carolien vanvooren,2024-07,Dutch,"Good hospital, friendly staff, expensive parking (also for patients), neurology department is terrible... my appointments that were made last year and have already been rescheduled twice (without me wanting to) have been rescheduled four times today, with one of the two canceled. When I call the hospital for an explanation, they say that they cannot let one of the appointments go ahead because it is 'not important enough', even though I have been referred by another neurologist. In other words, if you don't fall half dead you can't go here... In the meantime I have been to another hospital but unfortunately I am stuck at UZ Brussels because my neurologist is there.",UZ Brussel,"good hospital, friendly staff, expensive parking (also for patients), neurology department is terrible.. my appointments that were made last year and have already been rescheduled twice (without me wanting to) have been rescheduled four times today, with one of the two canceled. when i call the hospital for an explanation, they say that they cannot let one of the appointments go ahead because it is 'not important enough', even though i have been referred by another neurologist. in other words, if you don't fall half dead you can't go here.. in the meantime i have been to another hospital but unfortunately i am stuck at uz brussels because my neurologist is there.",0.052,0.873,0.074,-0.397,neutral,negative,0.9986887574195862
Belgium boy,2024-07,English,AMAZING. High tech hospital. really helpful and friendly staff. big recommend,UZ Brussel,amazing. high tech hospital. really helpful and friendly staff. big recommend,0.647,0.353,0.0,0.9162,positive,positive,0.9998691082000732
Mame Couta,2024-07,French,"Good morning,
I had surgery at UZ. I was very well taken care of.
Special mention to the nurse Fernando who is at PACU who is very kind, he is attentive and does his job well. Bravo to him.
Thank you very much to the surgeon and the endocrinologist Professor Balti who also does remarkable work.",UZ Brussel,"good morning,
i had surgery at uz. i was very well taken care of.
special mention to the nurse fernando who is at pacu who is very kind, he is attentive and does his job well. bravo to him.
thank you very much to the surgeon and the endocrinologist professor balti who also does remarkable work.",0.327,0.673,0.0,0.9696,positive,positive,0.9998576641082764
Bjorn Schoutteten,2024-07,Dutch,"One of the better hospitals, especially when it comes to the heart.",UZ Brussel,"one of the better hospitals, especially when it comes to the heart.",0.415,0.585,0.0,0.7964,positive,positive,0.9983774423599243
Lina Renbouk,2024-07,French,this hospital is absolutely rubbish and disrespectful,UZ Brussel,this hospital is absolutely rubbish and disrespectful,0.0,1.0,0.0,0.0,neutral,negative,0.9997093081474304
Ibtissam Saidi,2024-07,French,"I arrived at 6:30 p.m. A car accident that caused pain everywhere. They left me until midnight, a student and came to examine me to avoid hygiene 0 services 0 it's to die here",UZ Brussel,"i arrived at 6:30 p.m. a car accident that caused pain everywhere. they left me until midnight, a student and came to examine me to avoid hygiene 0 services 0 it's to die here",0.0,0.706,0.294,-0.91,negative,negative,0.9904085397720337
Nadine Kirongozi,2024-07,Dutch,"The emergency department was super friendly doctors and nurses!!!! A lot of hospitals can't match that, really where you are a patient, but they see you as a human being and explain everything very clearly and well, but above all they put you at ease, top team and nice cow lift 😉 …",UZ Brussel,"the emergency department was super friendly doctors and nurses!! a lot of hospitals can't match that, really where you are a patient, but they see you as a human being and explain everything very clearly and well, but above all they put you at ease, top team and nice cow lift 😉 …",0.308,0.666,0.026,0.9613,positive,positive,0.9992341995239258
Sarah Fraze,2024-07,French,Very professional. Spacious and clean premises. Friendly staff.,UZ Brussel,very professional. spacious and clean premises. friendly staff.,0.496,0.504,0.0,0.7096,positive,positive,0.9998348951339722
Nadine KAB. NAB. BONB,2024-07,French,Good,UZ Brussel,good,1.0,0.0,0.0,0.4404,positive,positive,0.9998161196708679
Nadia Bouhyaoui,2024-07,French,"Magnificent, competent, attentive doctor, kindness. Thank you for your professionalism",UZ Brussel,"magnificent, competent, attentive doctor, kindness. thank you for your professionalism",0.661,0.339,0.0,0.8934,positive,positive,0.9998733997344971
Roland Rottiers,2024-07,French,"Large university hospital
Very friendly staff",UZ Brussel,"large university hospital
very friendly staff",0.411,0.589,0.0,0.5413,positive,positive,0.9987071752548218
Fianso 1030,2024-07,French,"The security guys are so bad, we never see them. 3 young security guys smoke in the yard.",UZ Brussel,"the security guys are so bad, we never see them. 3 young security guys smoke in the yard.",0.198,0.618,0.185,-0.1757,neutral,negative,0.9995614886283875
Alain Glt,2024-07,French,"Professional and human support.
Thank you to the emergency team, and the Orthopedic team.
A Hospital in the Top 1 in Brussels and its surroundings.",UZ Brussel,"professional and human support.
thank you to the emergency team, and the orthopedic team.
a hospital in the top 1 in brussels and its surroundings.",0.229,0.686,0.085,0.5267,positive,positive,0.9996875524520874
Olha Lobas,2024-07,Dutch,Everthing okay,UZ Brussel,everthing okay,0.655,0.345,0.0,0.2263,positive,positive,0.9991993308067322
Natalia Naty,2024-07,French,"Coming from Erasmus because the wait was too long for the emergency room, I was sent home after several hours with appendicitis. Despite my distress and my prescription for a CT scan, it was refused because it was 4 a.m. (after a 5-hour wait) in the morning and I was not in a life-threatening emergency. :) No echo done, only a simple blood test more than I had a prescription for a blood test with specified characteristics. Painkillers were given to me by drip. (The nurse forgot to open the valve, we discovered it 1 hour later when I hyperventilated due to the pain - miraculously I was taken care of directly).
I am very disappointed, although I thought I had made a good decision because the UZ is not just any hospital...",UZ Brussel,"coming from erasmus because the wait was too long for the emergency room, i was sent home after several hours with appendicitis. despite my distress and my prescription for a ct scan, it was refused because it was 4 a.m. (after a 5-hour wait) in the morning and i was not in a life-threatening emergency. :) no echo done, only a simple blood test more than i had a prescription for a blood test with specified characteristics. painkillers were given to me by drip. (the nurse forgot to open the valve, we discovered it 1 hour later when i hyperventilated due to the pain - miraculously i was taken care of directly).
i am very disappointed, although i thought i had made a good decision because the uz is not just any hospital..",0.079,0.814,0.108,-0.5294,negative,negative,0.9972827434539795
Pierre Herreman,2024-07,French,"My wife had serious absence problems and she wouldn't stop crying.  We arrived by ambulance at the emergency room at 5:30 p.m.  I couldn't accompany my wife and was put in a room to wait.  After 5 minutes of waiting, I asked where my wife was, she was all alone in the emergency room in a terrible state without any help.  At 11:00 p.m. we saw a doctor who could not help my wife. We left the hospital at 11:30 p.m. without any help from this hospital it's a shame. The next day we went to the Saint Luc emergency room and there we got help.  It's shameful for a hospital like yours.   Pierre Herreman",UZ Brussel,"my wife had serious absence problems and she wouldn't stop crying. we arrived by ambulance at the emergency room at 5:30 p.m. i couldn't accompany my wife and was put in a room to wait. after 5 minutes of waiting, i asked where my wife was, she was all alone in the emergency room in a terrible state without any help. at 11:00 p.m. we saw a doctor who could not help my wife. we left the hospital at 11:30 p.m. without any help from this hospital it's a shame. the next day we went to the saint luc emergency room and there we got help. it's shameful for a hospital like yours. pierre herreman",0.07,0.714,0.216,-0.9541,negative,negative,0.9936947226524353
Rolande De Groodt,2024-07,French,"I am very satisfied with the UZ, the doctor is very competent",UZ Brussel,"i am very satisfied with the uz, the doctor is very competent",0.362,0.638,0.0,0.6894,positive,positive,0.9998096823692322
Ann Dewanckel,2024-07,French,Too long walks in the corridors :(,UZ Brussel,too long walks in the corridors :(,0.0,0.674,0.326,-0.4404,neutral,negative,0.9947609305381775
Yous Ad,2024-07,French,"Totally incompetent billing department! I called just to ask for a duplicate of all my invoices and they told me it wasn't possible. I've never heard that. When I asked to speak to a manager, they found a solution for me! Maybe your billing secretaries should be retrained!",UZ Brussel,"totally incompetent billing department! i called just to ask for a duplicate of all my invoices and they told me it wasn't possible. i've never heard that. when i asked to speak to a manager, they found a solution for me! maybe your billing secretaries should be retrained!",0.044,0.875,0.081,-0.4532,neutral,negative,0.9995953440666199
Hamdi Tebai,2024-07,French,Nulllll in general and soooo expensive billing...top latest equipment....zeroooooo experience and staff...results never guaranteed.,UZ Brussel,null in general and soo expensive billing..top latest equipment..zeroo experience and staff..results never guaranteed.,0.0,1.0,0.0,0.0,neutral,negative,0.9996309280395508
Marie-paule Lizon,2024-07,French,"We arrived around 4:30 p.m. at the emergency room, and were seen by a doctor after 6 hours of waiting. …",UZ Brussel,"we arrived around 4:30 p.m. at the emergency room, and were seen by a doctor after 6 hours of waiting. …",0.0,0.885,0.115,-0.3818,neutral,negative,0.9724076986312866
agnes kuhl,2024-07,Dutch,Good service,UZ Brussel,good service,0.744,0.256,0.0,0.4404,positive,positive,0.9998499155044556
Trc Lsk,2024-07,French,"I went there recently to visit orthopedics, some nurses are incompetent! Indeed, in addition to incessant informality, terrible hygiene (medicines without packaging), a total lack of instructions regarding the medications to take, they sigh at the slightest question. Fortunately, the competence, patience, kindness and professionalism of the doctors and physiotherapists were present.",UZ Brussel,"i went there recently to visit orthopedics, some nurses are incompetent! indeed, in addition to incessant informality, terrible hygiene (medicines without packaging), a total lack of instructions regarding the medications to take, they sigh at the slightest question. fortunately, the competence, patience, kindness and professionalism of the doctors and physiotherapists were present.",0.068,0.781,0.151,-0.7171,negative,negative,0.9636318683624268
AIT Taeib,2024-07,French,Yes I admit 😔...🤦🐕 …,UZ Brussel,yes i admit 😔..🤦🐕 …,0.492,0.508,0.0,0.5859,positive,positive,0.9849064946174622
Hulya Emre,2024-07,English,"Yesterday afternoon I called the ambulance because I had 40 degrees fever and I am pregnant with twins. Also having non stop nose bleed, dry cough. My fever that day wasn’t going down after taking paracetamol so my family and I got very worried. The paramedics asked why we called the ambulance for this and then I received the same question in the hospital twice more there! Nobody cared I was pregnant. They took my vitals and my heartrate was high. They also did a test to check which virus I am having and then sent me to the waiting room. I asked there to a couple how long they had been waiting and they told me 8 hours! I went to look for the hospital receptionist to inquire about the waiting time and she told me the next patient had been waiting 4,5 hours and that they are 5 people in front of me. I told her I will go home as this is absolutely pointless as nobody cares and how I can get the results of my tests as I am not a resident here she said she had no idea and couldn’t redirect me. I have never in my life experienced such treatment in a hospital!!! Do not go to this hospital if you need urgent care as you will wait 8 hours!! I am still shocked by the lack of empathy of any of the staff in this hospital!!",UZ Brussel,"yesterday afternoon i called the ambulance because i had 40 degrees fever and i am pregnant with twins. also having non stop nose bleed, dry cough. my fever that day wasn’t going down after taking paracetamol so my family and i got very worried. the paramedics asked why we called the ambulance for this and then i received the same question in the hospital twice more there! nobody cared i was pregnant. they took my vitals and my heartrate was high. they also did a test to check which virus i am having and then sent me to the waiting room. i asked there to a couple how long they had been waiting and they told me 8 hours! i went to look for the hospital receptionist to inquire about the waiting time and she told me the next patient had been waiting 4,5 hours and that they are 5 people in front of me. i told her i will go home as this is absolutely pointless as nobody cares and how i can get the results of my tests as i am not a resident here she said she had no idea and couldn’t redirect me. i have never in my life experienced such treatment in a hospital!! do not go to this hospital if you need urgent care as you will wait 8 hours!! i am still shocked by the lack of empathy of any of the staff in this hospital!!",0.055,0.9,0.044,0.5912,positive,negative,0.9969340562820435
