"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","fontBodySmall","fontBodySmall 2","kyuRq","dSlJg","dSlJg 2","NlVald 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a/ACg8ocJKLIXAf48YRtWckj8W4JaroP4au-aLlUGHUVRKxJyCtCJpiA=w36-h36-p-rp-mo-ba3-br100","babken harutyunyan","Local Guide · 31 reviews","a year ago","They sent me wrong invoice. Call centre provided zero support. One month they have been sending me to a doctor, who says that I was correct, but mistake is on Gent uni side and they must just send an invoice to them. Praying for not dealing with them again.","","","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocLODrAhZcTSLpOZJh-AElPRBQtAON9el56sQbcYZ5VE0611mw=w36-h36-p-rp-mo-ba4-br100","Carine Blontia","Local Guide · 66 reviews · 15 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWrRWagNXEGDD3TXjlulD7--NE5XC9y8NsXO-LiX8HgjJu58DIq=w36-h36-p-rp-mo-ba7-br100","Dennis Wong","Local Guide · 51 reviews · 1,346 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXTfMNq2H31RuF90RpybP5dvlCdv-aDAXnEN5QuEF7V3JLWVstY=w36-h36-p-rp-mo-ba5-br100","Ward D'Hooghe","Local Guide · 192 reviews · 227 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocK_5yU6jieObMYAAAd74lgRETWyIsjSeqAk5ghGJMJdqFs9XQ=w36-h36-p-rp-mo-br100","Liyaqat Momand","2 reviews · 2 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXoI1lP5v6L6IfWydK5pc475q4PnrK_ku6MHosRfslNSeHM1dcf=w36-h36-p-rp-mo-ba4-br100","Erik Van Overwaelle","Local Guide · 39 reviews · 6 photos","a year ago","I have to have a check-up with the professors every 3 months due to the diagnosis of lung cancer. Greetings Erik.","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocK-UVLYnEbeMcwSF90pTl_tDf1MP38d2iTIzE5GzkAKq4obwA=w36-h36-p-rp-mo-ba3-br100","Gino Delahousse","Local Guide · 46 reviews","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJTUtEuA540O1Rdxd7SzeDtgDiuRrGXGl5gXpAm7hI13AKuTA=w36-h36-p-rp-mo-br100","iftehar qazi","2 reviews","a year ago","I am really happy with this hospital. I've been through three times. I am much satisfied","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocKtGDxeOQcKo_aEozuZfzjfh3rjzlVifI4tGcPs3PmnE3FfKQ=w36-h36-p-rp-mo-br100","Liyaqat Momand","2 reviews","a year ago","I am really happy with this hospital. I've been through three times. I am much satisfied","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUonDIbu6iEmfKQgrSat5ybKJVdLuLKWGPvKW2uKs_im-bcCb__=w36-h36-p-rp-mo-ba4-br100","Aaron Lammens","Local Guide · 70 reviews · 3 photos","Edited a year ago","Top hospital ONLY they say they are so committed to the environment/climate that they waste 3 pages of paper even for an invoice of €0.00.
I have said several times that I would like to receive my invoices by email, but this is not answered unless it is more than 200 euros.
BUT this really beats everything.  REALLY, AN INVOICE OF €0.00 is what they waste their time/paper/ink/environment/AND THE CLIMATE on.
AND JUST THEY ARE SO CONCERNED ABOUT ENVIRONMENTAL AWARENESS. and make us sort and deal sparingly with whatever very smart and sensible people on that invoice Jesus mina where is this going.
but if we take one piece of paper too much, we are environmental polluters. Hopefully they will see that this is really a waste. If a patient does not receive an invoice, he/she will also know that he/she does not have to pay for it. AND one should DEFINITELY not be given 3 pages of paper for this with an amount of € 0.00

But the rest is in tip top condition","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUvwC3N3omQ5_lba3q8xA5tSeyV-M6r9rn9JWDRpRbDJJDIQPBi=w36-h36-p-rp-mo-br100","Marion Meirsman","","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVZy3-HyqC9DmX1IqBp1qe95LzfB9J93ApAfYK1b2txhLihekag=w36-h36-p-rp-mo-ba5-br100","Marc Van hecke","Local Guide · 194 reviews · 104 photos","a year ago","Top","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLg6bSGUtvLizhO-vQ38Den5V1QAVtZD_c9dYG3x3w21TqkPg=w36-h36-p-rp-mo-br100","Robinvdp2000","9 reviews","a year ago","Worst hospital there is","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocLWEONvVoFFWoQrUPbIvyr5hn2m4DKJO82SooeTASOUm8ziNvnW=w36-h36-p-rp-mo-br100","Laura H","16 reviews · 1 photo","Edited a year ago","The care was very good, and I had my best found of IVF to date. But sadly it didn’t work. I am giving a one star review because of how payments were handled, or rather not! Virtually no responses from invoicing dept when payments were queried. A couple of times we issued payments, with proof on our bank statements but got continually billed by invoicing for the same payments. I sent an email to invoicing and fertility dept highlighting my concerns but no response received. My husband tried using a payment link which didn’t work, he emailed to ask for help. No response received and we got a letter from bailiffs for payment because invoicing didn’t respond to his email!

Communication is just shocking. I suggest if you’re an international client you seriously consider if this is the hospital for your treatment, as we’ve found this experience very poor to say the least!!

Update 20th March
We’ve received another invoice!! No correspondence of what this relates to but codes which do not relate to any of our paperwork so do not understand why we were billed again! I emailed the ombudsman as you suggested asking for further information. Four weeks later no response from the ombudsman but a new bill. This was not from UZGhent but their bailiffs, yet again. BEYOND a joke! Why bother having email accounts if only to send emails but not respond? I want invoicing dept to call me urgently tomorrow. Kindly arrange this.","","","","","","Share","Like","3"
"https://lh3.googleusercontent.com/a-/ALV-UjVh4p71MlhCazxGHQtnMvSc8VyTkIC8Cw97kjXjgAtze7xj2TnF=w36-h36-p-rp-mo-br100","Yana-Lisa","6 reviews · 1 photo","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKFMnvHprK-_bkSZtTzO-WcAkHoH1RatAydaRxEKxwPTC8Mrg=w36-h36-p-rp-mo-ba2-br100","Billy Russo","Local Guide · 22 reviews · 1 photo","Edited a year ago","After being very dissatisfied with the OLV Aalst we chose the UZ Gent. Our 6-month-old son was operated on here last year and I was today. The staff is simply top, of the 30 nurses and doctors I have come into contact with over the years I have always been treated quickly and correctly and with a smile. Everyone is very concerned about you and the support is simply good. The rooms are also very hygienic.","Translated by Google","・","See original (Dutch)","","","Share","Like","2"
"https://lh3.googleusercontent.com/a/ACg8ocL78vP-Og9BuxnSZKIm7xFzDBOmtjud0ihKmT1o0q7ptmc7bA=w36-h36-p-rp-mo-br100","Emile Valentini","3 reviews","a year ago","I am there regularly. The care is fantastic. Being French-speaking, everyone does their best to speak.","Translated by Google","・","See original (French)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXOVxkkSwQtQfKduRgZdac9sezekVzfxJ5X3Wb-UmnnhdDFhHlV=w36-h36-p-rp-mo-ba4-br100","frederick swartebroeckx","Local Guide · 71 reviews · 31 photos","a year ago","Very competent staff and very friendly","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocL33D08W-iVNOGsBaTW2qzE1m8etkTwyCCYexpyuSpwMbPlTA=w36-h36-p-rp-mo-br100","nadia gader","2 reviews","a year ago","Medical top.. but mobility in Ghent leaves much to be desired.. Leave 2 hours in advance without consultation in order to be on time, due to traffic jams and overcrowded parking","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVwzZz1v1e5moTumHfSuWSWcUpj1JWOseni14bwR-J2TyLFGHA=w36-h36-p-rp-mo-ba4-br100","Raoul C","Local Guide · 37 reviews · 31 photos","Edited a year ago","A big blunder, and my girlfriend and I have to live with the consequences because all the files of the lung operation have been covered up (disappeared).. I think they want to get off easy.
It's like they're waiting for my girlfriend to drop dead. Our trust in uz gent has been completely destroyed.

To the professor who suggested my girlfriend, you're a coward and you should be ashamed of yourself!!

And the (still good)
Score is probably thanks to their own staff and perhaps also the media that wants to put uz gent in a good light.","Translated by Google","・","See original (Dutch)","","","Share","Like","8"
"https://lh3.googleusercontent.com/a/ACg8ocJFilCmg4iNckfj10fuOjYwpM_zSOAufmpapHhmJULpaLYERg=w36-h36-p-rp-mo-ba4-br100","Guy Haillez","Local Guide · 50 reviews","a year ago","Correct and smooth treatment","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocI3VPR5WbWn4dwrCQPi9zq9zlVyzSckLkfpUmcPl3b8ILuyyQ=w36-h36-p-rp-mo-ba3-br100","Suzana","Local Guide · 25 reviews · 1 photo","a year ago","Very good hospital","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocKIvqGxUZYeUcEeXX0UwWUQJ5JBpjFzmTPx_eOGlGp3bcRJIA=w36-h36-p-rp-mo-br100","Ann Goemaere","6 reviews","a year ago","My partner and I have been going back and forth to Uz Gent for many years because of liver transplantation with difficult psychological recovery and many events in life after the transplant. Now I have to go to the day clinic + Derma a lot. On behalf of myself and my partner, I am very grateful for what they do for my partner and have already done for him, the doctors and the professionals and all the staff. Thank you very much for the good care, also to the Derma. Ann Goemaere, M A Jabalameli.","Translated by Google","・","See original (Dutch)","","","Share","Like","2"
"https://lh3.googleusercontent.com/a-/ALV-UjVxJJOPw7W0jIWkQPOwBHAV3z00hhTklrwROAT-fL9JOd1F94C8=w36-h36-p-rp-mo-ba4-br100","Florie Douette","Local Guide · 43 reviews · 47 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJTjDE6BoNXVda1XO2-bGnyxyWyZx0tvI_Vj78MOgad-425SA=w36-h36-p-rp-mo-ba3-br100","Daniel Dufour","Local Guide · 2 reviews · 21 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVEyuFeaK1a0miVCnLeFFYcSqxP0LSIV-WxWdDNuujOCilD0O37MQ=w36-h36-p-rp-mo-ba4-br100","Bram De Vos","Local Guide · 66 reviews · 9 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJcYdHk3D_W9I03Lum-ghLGfXMtU2c3BlguNPMYbODMGTbNWiU=w36-h36-p-rp-mo-ba3-br100","Stefaan De Vits","Local Guide · 8 reviews · 46 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXbLOj0PfPoNQnZhE40CYjKIozkskGAkY75zti6XQqP_uU5wn5r=w36-h36-p-rp-mo-ba3-br100","Marijke Vannecke","Local Guide · 18 reviews · 3 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXZMZJHPoaNFTxbbBp1dxLbhEdF5AjBw95AYTAmfCTkuZvHXos=w36-h36-p-rp-mo-ba3-br100","The Creator","Local Guide · 7 reviews · 2 photos","a year ago","Very friendly and accessible care. The staff deserves kudos, every day. When admitted, the first choice is the UZ Gent by default. Beautiful campus to study too, in the KGCC. Sufficient parking and very nice that the campus is currently undergoing a transformation to become more modern.","Translated by Google","・","See original (Dutch)","","","Share","Like","3"
"https://lh3.googleusercontent.com/a/ACg8ocJ5HKq_ug9dK_05UKgm9V1eBOu2yX37GGSt4DAwK-IWChF5Ew=w36-h36-p-rp-mo-ba3-br100","Steven Yannick","Local Guide · 14 reviews · 3 photos","a year ago","If you want to die, definitely drop by, I am literally refused vital medication because the prescription does not come from Ghent but from Antwerp. Pharmacists not helpful at all, IG department not at all either","Translated by Google","・","See original (Dutch)","","","Share","Like","3"
"https://lh3.googleusercontent.com/a-/ALV-UjXSihV_Pfocxd5trChkAYOCD8lEcWuHnjTCmdUr3PNIOoUnF9-8GA=w36-h36-p-rp-mo-ba7-br100","Danny Hoskens","Local Guide · 1,319 reviews · 12,076 photos","Edited a year ago","Beautiful large hospital. Well organized and professional, good approach/service.","Translated by Google","・","See original (Dutch)","","","Share","Like","2"
"https://lh3.googleusercontent.com/a/ACg8ocI-iUXKbHvYrzCcx5i0o8vSmehXXqQZTtR-4yOV8Bx0mtfTwg=w36-h36-p-rp-mo-ba3-br100","Jerry Huizinga","Local Guide · 26 reviews · 2 photos","a year ago","Very big! It took some time to find the right department, the doctor was very friendly and knew a lot about our situation! Very nice hospital","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjV1BxDlcDsAmtlFxba52mDUse970vq3YZ4cqjztq9ptSXM7wcU=w36-h36-p-rp-mo-ba4-br100","Natasja Willems","Local Guide · 61 reviews · 9 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJztEm4bpxv5VI5IrzuqolISNQzT31F02WCrKwkcz4trejnDA=w36-h36-p-rp-mo-ba4-br100","Koen Van Houcke","Local Guide · 4 reviews · 26 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXdAtZQoi9o9axkkDdT1RkJAfBcRSil4PI-hcLjS1fKZlgcqFAK=w36-h36-p-rp-mo-ba4-br100","Guy Ruebens","Local Guide · 37 reviews","a year ago","Very well cared for and you will receive a friendly welcome, yes it is always very busy, they have very good doctors, specialization, higher technical profiles of development, but the staff is short-handed, which is a problem for those people","Translated by Google","・","See original (Dutch)","","","Share","Like","2"
"https://lh3.googleusercontent.com/a/ACg8ocLcF-ewWjnO5c5xVAoivA17K3rNwker1O5zDZ0fLxvcFGX3Kg=w36-h36-p-rp-mo-ba4-br100","Etienne Goeman","Local Guide · 36 reviews · 1 photo","a year ago","Complex but efficiently organised","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocLT8OIQuurxqkDXS_cZX1at7m280hfEi24cHaOMQxVZrI3nMA=w36-h36-p-rp-mo-br100","Amberly De Pelecyn","1 review","a year ago","Had a VERY bad experience with an emergency! UZ Gent, please do something about your staff in this department! Had first examination from a woman who was downright rude! Every time I answered she would snap at me and roll her eyes. I honestly don't understand how this is possible, ZERO professionalism!! Never experienced anything like this before.","Translated by Google","・","See original (Dutch)","","","Share","Like","5"
"https://lh3.googleusercontent.com/a-/ALV-UjVJvwxp8kh7h9k1vXITOrNasUSH1nKHSoZ_hoTFyLYa7ZjvddG2cQ=w36-h36-p-rp-mo-ba4-br100","johny b","Local Guide · 57 reviews · 33 photos","a year ago","Great experiences with UZ GENT.
Go to the pain clinic for your back.
And a cardiologist for the heart, of course.
Very good explanation, lots of information before and during the treatments.
And great follow-up 👌","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjUL1b4XmRKPZDn8TtvJOtcDQxk3Z_0bSkIl37oQypHNuZTsgpY=w36-h36-p-rp-mo-br100","Mubarak Ali","1 photo","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLrpMQMf4DwP_XBg5proLPSPM892z-lzyl0BUBPiri1yGVZmA=w36-h36-p-rp-mo-br100","Olga Kutsenko","1 review","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIj5YC8FXDl0T-cOCzH6cNKn7yoROIZuPMgP8NvoZ9IsoG2kg=w36-h36-p-rp-mo-br100","Sadik Halac","15 reviews · 1 photo","a year ago","Thank you. Everything was ok.","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjV_b7hscaREPMtUSxhSSFHaiHX7nch6ABgN6ZZyizYpwgtBZpuADw=w36-h36-p-rp-mo-ba3-br100","Matthias Hebbe","Local Guide · 1 review · 10 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJgyOJL_TCRUgRNeQUnGsXuHt9DkmnPAFcfsyQRayt2Gu063g=w36-h36-p-rp-mo-ba6-br100","Lex","Local Guide · 279 reviews · 1,810 photos","a year ago","Large university hospital. Hat helped by friendly and knowledgeable staff and doctors.","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjU5Rx6xs4XknB4ut1Z5zQNfcPRMqoFND-beaAdBfaFMH9r4JAbwEA=w36-h36-p-rp-mo-ba2-br100","Sami Elastal (‫سامي الأسطل‬‎)","Local Guide · 7 reviews","a year ago","They never respect appointment times, we always have to wait too long.","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXw34ITSusPOBD5C5517D5UXKk8Pn3zwvcFi3tbv_MNCpxO2J0MvQ=w36-h36-p-rp-mo-ba5-br100","I V","Local Guide · 96 reviews · 113 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLJBRnIX3RMrJ7HSSPhuvOJ7IYT-Id-opvAkNYujajGAmd9IXbW=w36-h36-p-rp-mo-ba3-br100","Mingo Diaz Martin","Local Guide · 28 reviews · 20 photos","a year ago","Busy usually","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLj_Ls8laNgqnSXl2WeSnwXT-Hb665oHnw8OxnMmvSDsp8O2g=w36-h36-p-rp-mo-br100","Sscooper25","20 reviews","a year ago","Very disappointed in the replacement(s) of Prof De Wilde (orthopaedics) De Wilde is retired and the replacements wipe their feet on everything... (I have a ban on many things from the Prof and I also have it on paper from him himself! So I know all too well about what I am talking about
) The replacements want me to do things that I am not allowed to do ) trust is completely gone while I had built up a lot of trust with Prof. Wilde, he was the only lady willing to help me.

Pain that is unbearable and nothing has been done yet, well I've had it, all those investigations no longer reveal anything even though they know all too well what the problem is!! You don't walk around with the pain, otherwise you won't have to wait so long!

Well, you will only see me now when it breaks and I can't do anything anymore, but then you won't see that I didn't ask for help!!!

Thanks for destroying everything","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjU7nwE1qMq1d_uAUA2GApeGYvN5X18LnEdRxTcsX8chSwT6iMfG=w36-h36-p-rp-mo-ba2-br100","Senne Guidé","Local Guide · 3 reviews · 1 photo","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVF5vC3pK6JdmIXcale8F1xsjpWIMguhUU8dGaMeoztTil8vL5V=w36-h36-p-rp-mo-br100","Johan Van den abbeel","1 review","a year ago","Not friendly at the counter and the toilets very dirty","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjVI_6Xz2XC0D6V0rKex45_ccr0kIlJ5cU10YcL1OBkySzZHvcgclQ=w36-h36-p-rp-mo-ba3-br100","Jonathan Deckers","Local Guide · 38 reviews · 109 photos","Edited a year ago","Adult psychiatry: warm care, free and goal-oriented","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWeWcc4YP6_hi8w0LBzHfWwnWKZU3DKA5QzAh3Tk9CThnlDZ5e0AA=w36-h36-p-rp-mo-ba4-br100","Dirk Vrient","Local Guide · 50 reviews · 14 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKfpbqRMq9ZDCJIYreSsL_SH-JtY3V1hiRi6VZzsVqyrpQmbQ=w36-h36-p-rp-mo-ba5-br100","bit dot","Local Guide · 47 reviews · 772 photos","a year ago","Waiting time is too long, usually more than 1.5 Hours.","","","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjVOenO7zY-t5tUujcaVei9WC3uRIlG5q1ytt7w-lIWBs92kg_Nf=w36-h36-p-rp-mo-ba2-br100","Jonathan Deckers","Local Guide · 8 reviews · 21 photos","a year ago","Adult Psychiatry K12","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIu6eAmJa_lB5jFA-YeSkWQjzQGji09bJPoFhr2bIsBb0cKVA=w36-h36-p-rp-mo-ba4-br100","Eddy W","Local Guide · 264 reviews · 9 photos","a year ago","Ok!","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUchA06DJklHe7RZ8o3siXRiuNACb7wO_IBMBHoihwfjjCz7fK4=w36-h36-p-rp-mo-ba2-br100","Imke Maes","Local Guide · 7 reviews · 8 photos","a year ago","We helped our daughter 12w/old very quickly and professionally with a nice follow-up as a follow-up to the GIHK service.","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV8rhmG47anyKKIAl7fVhFD1McKdM6FVggwInjmNmB9oUP7lLb1=w36-h36-p-rp-mo-ba5-br100","Rebekah De Moor","Local Guide · 224 reviews · 402 photos","a year ago","Best hospital","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUVWU7cIOjFwHGT1REmv9OW10z18EWyO_tgO3IlD5xrRt3qAzhe=w36-h36-p-rp-mo-br100","Leo Temmerman","8 reviews","a year ago","What strikes me are the negative reviews.
As a Zeeland Flemish person, I have been coming to UZ Gent for years, we can be happy that we can go there through our health insurance and the experience is great. Friendly doctors, assistants and care workers. Very attentive and yes, waiting is sometimes long, there are sometimes emergencies that take priority.
Cafeteria is just good. Accessibility good.
In short, a great hospital!","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocItg5IdLk3osQ4A3nLHYDsz7o5G4tEB9ZxiZC3NfR88bfDl_g=w36-h36-p-rp-mo-br100","Jessica Karwańska","2 reviews","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUUn8QrWqDiLPFC4EWGc69JC4INqA6oknSkRz6BJkVTH8SA_IX45A=w36-h36-p-rp-mo-ba2-br100","Jens","Local Guide · 9 reviews · 27 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUvhfw_-gQku03ERU2SVMieClqraTs6myJ07edE8N2x0EhQiiia=w36-h36-p-rp-mo-br100","Emir Sheikhali","","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXb77ditaVFYcWVM7i8HjYYvpeVJ_Aeb2XWGhIyGLxo-XB5vG9L=w36-h36-p-rp-mo-br100","correia estevao Antonio","1 review","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLY9PJlmyzjClvNRt4QFW2RdNsECOXceVqseAnBghD1jIRyvAMl=w36-h36-p-rp-mo-ba4-br100","Patrick Danssaert","Local Guide · 57 reviews · 7 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLhHbYQ14gs569VbynzyLVO3iefst7zbX57asq7Srd2T0o-8w=w36-h36-p-rp-mo-br100","Emirhan","5 reviews","a year ago","The worst place ever existed
Makes people wait for hours
Very rude and definitely not a recommended place

I definitely do not recommend people here thanks!

In the meantime I have filed a complaint here and will continue to do so.","Translated by Google","・","See original (Dutch)","","","Share","Like","3"
"https://lh3.googleusercontent.com/a-/ALV-UjV2XpeAUC2BkpQXO3VqWWxn5pxVC6_cq2peumKvPxpLjTmMU474=w36-h36-p-rp-mo-ba4-br100","N.D","Local Guide · 90 reviews · 25 photos","a year ago","French-speaking, quadriplegic, I travel this far because the infrastructure is completely adapted for the disabled and the staff is professional, empathetic and speaks French perfectly! THANKS","Translated by Google","・","See original (French)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUjtMdi4ocHsJS7_HMmrZ0jwXvBJz9tRjMY0KkFuetUdMQelglA=w36-h36-p-rp-mo-ba4-br100","Christine D'Hulst","Local Guide · 66 reviews · 2 photos","a year ago","They are super friendly doctors and you will receive professional help","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJmlbjyaDls_OWYbuyNXgRz8fFDdybMsVww8v-j-UvbcWGbHQ=w36-h36-p-rp-mo-br100","Lisa Van Elsen","3 reviews","a year ago","Not satisfied","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKOReMenm8-cOfBkMmCwUv_0UvBrY3D05JGOD_Zrw9SdVchRQ8=w36-h36-p-rp-mo-ba5-br100","Pascal Wouters","Local Guide · 129 reviews · 55 photos","a year ago","Very good clinic","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVZyFOc1w7trdPCVfHyRbWjcGUagNukywhW7menYA-DMXqvHnRK=w36-h36-p-rp-mo-ba5-br100","Kurt Vanoosterhout","Local Guide · 69 reviews · 23 photos","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLifK33QxD6icqeDJEV2pL7geIjZ_X9fm3jqUBdu3I4qp6uwhVU=w36-h36-p-rp-mo-br100","Joep De Smit","2 reviews","a year ago","I had a neck operation, received good help from neurosurgeon Allaert and good nursing and good service","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVV6v7lZSO_PHGehm1UclMGzb9OX2QbHVIVbuMFa0rLzB7Ee9gK=w36-h36-p-rp-mo-br100","Yelda","5 reviews","a year ago","Always very good experience and care. A big compliment to all employees of UZ Gent. From the specialists, assistants, nurses, logistics, security, ... . Much respect for all your hard work.","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJu1F8kDuOZ5y5v4E4dYIvZkluDLpSR_vRKJKKcxKk6T51hjw=w36-h36-p-rp-mo-br100","sky girl","4 reviews","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUApIzPPmXNxEYZlJt5ea3qR8yxYslwBqPwS04VezfXgRSY9BjU=w36-h36-p-rp-mo-ba4-br100","Eva","Local Guide · 73 reviews · 129 photos","a year ago","Bad service! Agreements are never kept. My brother had to wait more than 6 hours on an empty stomach for his operation, which was scheduled for 8 am. Terrible arrangement!!","Translated by Google","・","See original (Dutch)","","","Share","Like","5"
"https://lh3.googleusercontent.com/a/ACg8ocJr4Xw9NcG52AP5Hor_0FM1Ux4SpjdudEvrGkLE79FU8U10zmU=w36-h36-p-rp-mo-ba2-br100","Y S","Local Guide · 19 reviews · 6 photos","a year ago","Review for UZ Gent Cardiac Department.

This year, I was diagnosed with congenital heart disease known as ""Sinus Venosus ASD,"" abbreviated as PAPVR + ASD. Despite being asymptomatic, the diagnosis came as a shock. I embarked on a journey of understanding my condition and exploring potential treatments.

Through extensive research and consultations with various surgeons, I discovered three surgical options available to me:

1. Sternotomy open-heart operation.
2. Thoracotomy minimal invasion.
3. Transcatheter minimal invasion.

Choosing the right approach was a challenging decision. I would strongly advise seeking detailed consultations with surgeons to thoroughly understand the associated risks before making a choice. In my case, I personally opted for option 1, as it seemed to offer a safer solution for my specific congenital condition.

Selecting a surgeon proved to be no less complex, given that I consulted with more than 8 specialists across different countries. The key is to establish the right connection with your chosen surgeon, for me this was with Prof. Dr. Katrien Francois at UZ Gent Hospital.
Now that I've been discharged from the hospital and back in the comfort of my home, I feel fantastic and healthy. Notably, I believe I have been left with the coolest and nearly invisible scar on my chest. I am truly grateful to Professor Francois and her dedicated team for providing exceptional care throughout my journey.

Thank you !!!","","","","","","Share","Like","2"
"https://lh3.googleusercontent.com/a/ACg8ocJLs7LXvb2ZIYsVpAB9W5UGoEzLEiTRwXxM8BPCpTMV8tc9gA=w36-h36-p-rp-mo-ba3-br100","Isabelle De Savoye","Local Guide · 22 reviews · 4 photos","a year ago","","","","","","","","",""
